[SYCL] call ggml_check_sycl
[SYCL] call ggml_backend_sycl_print_sycl_devices
[SYCL] call ggml_backend_sycl_host_buffer_type
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l3':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l3':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l3 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l3 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l7':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l7':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l7 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l7 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l11':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l11':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l11 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l11 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l15':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l15':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l15 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l15 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l19':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l19':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l19 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l19 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l23':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l23':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l23 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l23 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l27':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l27':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l27 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l27 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l31':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l31':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l31 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l31 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l35':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l35':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l35 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l35 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l39':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l39':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_k_l39 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_v_l39 (view)':type=f16;ne=[512, 256, 1, 1];nb=[2, 1024, 262144, 262144]
[SYCL] call ggml_backend_sycl_buffer_clear: size=5242880
[SYCL] call ggml_backend_sycl_buffer_init_tensor: tensor='cache_r_l0':type=f32;ne=[24576, 1, 1, 1];nb=[4, 98304, 98304, 98304]
